ncode,narou_title,match_score,is_matched,annict_id,annict_title,watchers_count,satisfaction_rate,reviews_count,episodes_count,season_year,season_name,media,fetched_at
N2055MF,妹が「白いマントは私の方が似合います」と言うので、英雄の婚約者席も凱旋式の役目も譲りました。ですが遺族席を忘れていたようです,0.0,False,,,,,,,,,,2026-06-23
N9834MH,あなたがお嫁さんだったら良かったのにと、今更言われましても。私は辺境伯様に大切にされていますので,0.0,False,,,,,,,,,,2026-06-23
N8470ME,イリーナはもういない,0.0,False,,,,,,,,,,2026-06-23
N1914ME,真実の愛という揮発性物質,0.0,False,,,,,,,,,,2026-06-23
N2126MF,【短編】「もう遅い」のその前に～失わせ屋へようこそ～２,0.0,False,,,,,,,,,,2026-06-23
N0888MH,妹に奪われた婚約者は、私が支えた優良物件でした　〜結婚相談所で働いていた私が支援をやめたら、妹の理想の婚約者ではなくなりました～,0.0,False,,,,,,,,,,2026-06-23
N8594MG,「婚約者を解放してあげて！」と言われましたが、彼、婚約者ではありませんよ？,0.0,False,,,,,,,,,,2026-06-23
N0775MH,ヒロインの実家を潰しましたがなにか？,0.0,False,,,,,,,,,,2026-06-23
N4517LV,物理で殴る幼児転生 ～「泥靴」と馬鹿にされた男爵家、伝説の現場監督が中に入ったら最短ルートで王都と直結しました～,0.0,False,,,,,,,,,,2026-06-23
N0544MF,階段から突き落とした罪を捏造された時の対処法,0.0,False,,,,,,,,,,2026-06-23
N6085MI,令嬢のさよならは優雅に,0.0,False,,,,,,,,,,2026-06-23
N3059ME,「臆病者の小言」と支援職を笑ってパーティを抜けた元仲間が、七日後の昇級試験で「管理不能な変動要素」と評された話 ,0.0,False,,,,,,,,,,2026-06-23
N8368MG,ダンジョンから帰ったら五十年経ってたんだが。～え？昔の仲間が今や大手ギルドの代表？なにそれ知らん……こわ……～,0.0,False,,,,,,,,,,2026-06-23
N1972ME,田舎のネズミと都会のネズミのお話。,0.0,False,,,,,,,,,,2026-06-23
N5262ME,「あなたの隣を歩きましょう？」,0.0,False,,,,,,,,,,2026-06-23
N5353MD,断罪された悪役令嬢は微笑み、悪意を飲み干す,0.0,False,,,,,,,,,,2026-06-23
N5184MG,公爵夫人は城門に立ち続ける門番を見て、結婚生活に耐え続ける,0.0,False,,,,,,,,,,2026-06-23
N1490MC,愛されないわたくし、我慢の限界で真実を知る,0.0,False,,,,,,,,,,2026-06-23
N4286MF,聖女の不倫,0.0,False,,,,,,,,,,2026-06-23
N3164MA,【連載版】「魔力無しの失格治癒師」とバカにされた転生【外科医】、辺境でその腕を証明する～婚約破棄され家から追放された私、治癒魔法が諦めた命を医術で覆したら、救世主扱されて困ってます～,0.0,False,,,,,,,,,,2026-06-23
N7080MG,悪口を言われたので友情を壊してやりました,0.0,False,,,,,,,,,,2026-06-23
N2062MI,【短編版】夜会で「婚約破棄しよう」という常套句に呆れて振り返ったら、双子の愚兄だった件。【連載版はじめました】,0.0,False,,,,,,,,,,2026-06-23
N5683MF,不倫された上に「コストカット」と自社からリストラされたおっさんエンジニア、中1に戻って未来の知識で大富豪になる,0.0,False,,,,,,,,,,2026-06-23
N4485MF,だから私は引きこもる　聖女が現れたから私はお役御免なのでしょ,0.0,False,,,,,,,,,,2026-06-23
N1073MI,逆境を跳ね返したのは他人の悪意でした,0.0,False,,,,,,,,,,2026-06-23
N5686ME,悪役令嬢は蚊帳の外です。,0.0,False,,,,,,,,,,2026-06-23
