ncode,narou_title,is_book,amazon_asin_vol1,amazon_url_vol1,amazon_title_vol1,amazon_rating,amazon_review_count,match_score,checked_at
N0892MI,石田三成、職務放棄します,False,,,,,,0.0,2026-06-23
N8127HE,青春捧げて30000戦！～村を守るために戦い続けた少女、モンスターはどれだけ倒しても絶滅しないと知った時には《最強の野生児》になってました～,False,,,,,,0.0,2026-06-23
N5824CT,神達に拾われた男（改訂版）,True,B075L3MT9H,https://www.amazon.co.jp/dp/B075L3MT9H,神達に拾われた男1 (ＨＪノベルス),,,0.5161,2026-06-23
N6055LA,【コミカライズ】夫が王女殿下の護衛騎士に任命されて帰ってこないので助けに行こうと思います,False,,,,,,0.0,2026-06-23
N2431MG,「私ね、女王になりたいの」,False,,,,,,0.0,2026-06-23
N6090ME,何度死に戻っても処刑されるので、王子を先に断罪することにしました,False,,,,,,0.0,2026-06-23
N8508MF,お前の髪色では嫁に行けないと言われましたが、騎士様と結婚して幸せになりました。,False,,,,,,0.0,2026-06-23
N9674MD,「帰ったら結婚しよう」と旅立った勇者の幼馴染は、帰還せず聖女様と結婚するそうです,False,,,,,,0.0,2026-06-23
N2535HP,手札が多めのビクトリア ２ 【書籍化・コミカライズ・アニメ化】,False,,,,,,0.0,2026-06-23
N1624FI,【アニメ化決定】貴族転生～恵まれた生まれから最強の力を得る,True,B07WWBCTHZ,https://www.amazon.co.jp/dp/B07WWBCTHZ,貴族転生　～恵まれた生まれから最強の力を得る～ (GAノベル),,,0.7,2026-06-23
N2755MI,嫁ぎ先にブラコンの義姉がいた場合の対処法,False,,,,,,0.0,2026-06-23
N5044MH,婚約指輪を妹に譲れと言われました。構いません、その石は最初から割れています,False,,,,,,0.0,2026-06-23
N1510LC,トリニティアイ　-転生平民魔術師の王城勤務-,False,,,,,,0.0,2026-06-23
N3411MI,病弱な婚約者が幼馴染を優先して呼びつけます,False,,,,,,0.0,2026-06-23
N2147KD,【電書化】処刑された令嬢、今世は聖女として幸せを掴みます！,False,,,,,,0.0,2026-06-23
N0481HQ,《書籍化、コミカライズ》稀代の悪女、三度目の人生で【無才無能】を楽しむ,True,B0G69QXSXY,https://www.amazon.co.jp/dp/B0G69QXSXY,稀代の悪女、三度目の人生で【無才無能】を楽しむ５ (カドカワBOOKS),,,0.6479,2026-06-23
N6149GV,中年魔術師の悠々自適なダンジョン攻略～スキルオーブを使ったら最強スキルを手に入れたので、好きに生きようと思います～,True,B0GR7S8M14,https://www.amazon.co.jp/dp/B0GR7S8M14,中年魔術師の悠々自適なダンジョン攻略～スキルオーブを使ったら最強スキルを手に入れたので、好きに生きようと思います～@COMIC 第6巻 (コロナ・コミックス),,,0.8382,2026-06-23
N1813JR,【書籍化】錬金術師カレンはもう妥協しません【2巻発売・コミカライズ】,False,,,,,,0.0,2026-06-23
N2925HR,気弱令嬢に成り代わった元悪女,True,B0H2WLN33R,https://www.amazon.co.jp/dp/B0H2WLN33R,気弱令嬢に成り代わった元悪女,,,1.0,2026-06-23
N1442MI,若い女性がお好きなあなたへ,False,,,,,,0.0,2026-06-23
N3333LP,翻訳破棄 ～腹黒姫とお人好し魔王～,False,,,,,,0.0,2026-06-23
N5651MG,「夕方に灯をつけるだけの女」と婚約者に笑われました。では、王都の夜灯台帳から私の名を消します,False,,,,,,0.0,2026-06-23
N6078MF,タロット令嬢、今日の運勢を占う,False,,,,,,0.0,2026-06-23
N8514MF,またあの子を優先するのですか？　では、婚約式は私ひとりで終わらせます――王太子殿下、正式な記録はもう残しました,False,,,,,,0.0,2026-06-23
N4241LY,残り時間0.2秒で、断罪を回避する,False,,,,,,0.0,2026-06-23
N0721LZ,『運命の番』はいりません,False,,,,,,0.0,2026-06-23
N4007MB,【透視チート】会社をクビになった俺、ダンジョン配信でバズって人生逆転する,False,,,,,,0.0,2026-06-23
N4205MF,ハズレスキル「雑巾がけ」で世界をきれいにしていきます,False,,,,,,0.0,2026-06-23
N5028HH, 魔物をペット化する能力が目覚めたので、騎士団でスローライフします,False,,,,,,0.0,2026-06-23
N5122MD,未練があるなんて、思わないで下さい,False,,,,,,0.0,2026-06-23
N3459MG,私、浮気しないでって言いましたよね！？,False,,,,,,0.0,2026-06-23
N4175IS,修羅場丸ごと異世界召喚　～ダンナは『勇者()』、浮気相手は『せいじょ』サマ。『主婦』の私は不要ですね？～,True,B0FLJ2SR32,https://www.amazon.co.jp/dp/B0FLJ2SR32,修羅場丸ごと異世界召喚　～ダンナは『勇者()』、浮気相手は『せいじょ』サマ。『主婦』の私は不要ですね？～１ (MFブックス),,,0.9123,2026-06-23
N0109FX,羽林、乱世を翔る（異伝　淡海乃海 水面が揺れる時）,True,B08PTS9Y58,https://www.amazon.co.jp/dp/B08PTS9Y58,羽林、乱世を翔る～異伝　淡海乃海～ 第1巻 (コロナ・コミックス),,,0.5517,2026-06-23
N2613MG,砂漠の女神の愛し子と類稀な美貌の宰相令息,False,,,,,,0.0,2026-06-23
N6343MG,婚約破棄され火炙りを命じられたので、結界を解除しました。国が滅びますが知りません。,False,,,,,,0.0,2026-06-23
N0474ME,三十代社畜の俺、中二に戻って人生無双を始める　〜なお宝くじの番号は覚えていない〜,False,,,,,,0.0,2026-06-23
N5868LO,確かに私の妹だけどいじめたのは私じゃない,False,,,,,,0.0,2026-06-23
N2370JG,独身おじさんの異世界ライフ～結婚しません、フリーな独身こそ最高です～,True,B0F8ZCZDC6,https://www.amazon.co.jp/dp/B0F8ZCZDC6,独身おじさんの異世界ライフ～結婚しません、フリーな独身こそ最高です～,,,1.0,2026-06-23
N7056HM,【WEB版】やり込んだ乙女ゲームの悪役モブですが、断罪は嫌なので真っ当に生きます【書籍＆コミカライズ大好評発売中】,True,B0B6FKN9XS,https://www.amazon.co.jp/dp/B0B6FKN9XS,やり込んだ乙女ゲームの悪役モブですが、断罪は嫌なので真っ当に生きます【電子書籍限定書き下ろしSS付き】,,,0.7037,2026-06-23
